"species","strategy","description","mean_catch_missed","lower_ci_catch_missed","upper_ci_catch_missed","mean_catch_real","lower_ci_catch_real","upper_ci_catch_real","mean_catch_estimated","lower_ci_catch_estimated","upper_ci_catch_estimated","mean_monitored_sets","mean_true_catch","mean_estimated_catch","mean_bias_percent","p_monitor"
"Bycatch species ","sets","Random sets",-6.16597179500811,-213.682241219582,189.457316604085,1513.233,1019.95,2220.34999999999,1519.39897179501,985.546720771197,2232.92559613357,2617.293,1513.233,1519.39897179501,0.410427977294468,1
"Bycatch species ","trips","Baseline 75%",11.8489082964529,-407.787235167479,412.445080668611,1512.159,1006.85,2173.02500000001,1500.31009170355,897.594918773181,2302.51701875556,1956.816,1512.159,1500.31009170355,-0.683415538954427,0.2
"Bycatch species ","trips","Trip bias 75%",630.524880460591,326.616063411789,1015.86592179502,1502.338,1002.8,2165.225,871.81311953941,512.818529118964,1328.70173715636,2529.979,1502.338,871.81311953941,-41.8542022706712,0.2
"Bycatch species ","vessels","Baseline 20%",9.68698794062618,-1169.78568057324,779.434463155429,1510.714,992.9,2177.99999999999,1501.02701205937,657.610889355743,2915.16187232143,515.814,1510.714,1501.02701205937,-0.41624920062355,0.2
"Bycatch species ","vessels","Vessel bias 20%",517.7087788107,-76.9781499202437,1146.26766789009,1511.915,1014.85,2179.07500000001,994.2062211893,471.853089244186,1770.16312593979,632.114,1511.915,994.2062211893,-33.9267951794059,0.2
"Market species","sets","Random sets",-92.5294132245838,-8144.6990665392,7274.26183479523,97553.337,69461.575,134113.6,97645.8664132246,67822.1026320428,134971.641449398,2618.08,97553.337,97645.8664132246,0.0861809651948686,1
"Market species","trips","Baseline 75%",-614.1777805837,-24053.4179099602,18522.4117865087,96689.198,66926.45,134455.425,97303.3757805837,64217.7122655194,144874.202580749,1941.774,96689.198,97303.3757805837,0.530384581688604,0.2
"Market species","trips","Trip bias 75%",42387.9780307328,25477.4344558311,63074.6053788461,98492.928,67756.2,134131.125,56104.9499692672,36133.3773500978,78759.3120609135,2586.592,98492.928,56104.9499692672,-42.9303488456463,0.2
"Market species","vessels","Baseline 20%",390.400374788987,-49444.0811764708,38824.7366773514,98133.12,68418.5,133821.975,97742.719625211,53779.219434968,160304.309418299,525.366,98133.12,97742.719625211,-0.264851693932275,0.2
"Market species","vessels","Vessel bias 20%",20653.778451561,-15313.7488927739,53287.3841445099,97476.958,67533.7,132192.375,76823.179548439,45253.11405414,122163.328993371,598.022,97476.958,76823.179548439,-20.9906362132441,0.2
"Market species + high trip variance","sets","Random sets",-355.287566112849,-30482.3200554191,26220.6348409531,181848.608,116111.475,263640.8,182203.895566113,114839.921056568,277399.137868077,2624.652,181848.608,182203.895566113,0.073196063859309,1
"Market species + high trip variance","trips","Baseline 75%",2632.47478492196,-99045.0459804494,80464.1322413221,179291.182,118082.45,267087.725,176658.707215078,95477.6506081762,312154.849635354,1941.919,179291.182,176658.707215078,-1.13356504306631,0.2
"Market species + high trip variance","trips","Trip bias 75%",145611.277955128,90102.6159046968,224415.330837363,181928.216,115370.75,268063.85,36316.9380448717,22984.6336850096,53263.0550111966,3222.855,181928.216,36316.9380448717,-79.708781860979,0.2
