"parameter_set_id","description","strategy","mean_estimated_rate","mean_monitored_sets","mean_true_rate","mean_true_catch","mean_estimated_catch","mean_catch_real","lower_ci_catch_real","upper_ci_catch_real","mean_catch_estimated","lower_ci_catch_estimated","upper_ci_catch_estimated","mean_catch_missed","lower_ci_catch_missed","upper_ci_catch_missed","mean_bias","mean_bias_percent","lower_ci_mean_bias","upper_ci_mean_bias","lower_ci_mean_bias_percent","upper_ci_mean_bias_percent","monitoring_param_set","p_monitor","bias_v","bias_factor","p_sets_select","spp_param_set","species","V","mu_trips","theta_trips","mu_sets","theta_sets","beta_0","sigma_x","sigma_z","theta","x_axis","plot_group","colour_scale"
28,"Random sets","sets",0.116160217815647,2617.293,0.115673557140266,1513.233,1519.39897179501,1513.233,1019.95,2220.34999999999,1519.39897179501,985.546720771197,2232.92559613357,-6.16597179500811,-213.682241219582,189.457316604085,0.000486660675380464,0.410427977294468,-0.0150577737515044,0.0159418073967088,-12.8673518297529,13.9044940153935,1,1,0,0,0.2,4,"Bycatch species ",50,10,1.13,26,1.8,-2.52,0.55,0.65,0.42,"Bycatch species  - Random sets","sets",NA
1,"Random sets","sets",7.46153260169851,2618.08,7.45472894594151,97553.337,97645.8664132246,97553.337,69461.575,134113.6,97645.8664132246,67822.1026320428,134971.641449398,-92.5294132245838,-8144.6990665392,7274.26183479523,0.00680365575699791,0.0861809651948686,-0.548500420795607,0.64799963184714,-7.64131790004259,8.65210881436654,1,1,0,0,0.2,1,"Market species",50,10,1.13,26,1.8,1.7,0.41,0.67,0.42,"Market species - Random sets","sets",NA
19,"Random sets","sets",13.8888641059611,2624.652,13.872595959234,181848.608,182203.895566113,181848.608,116111.475,263640.8,182203.895566113,114839.921056568,277399.137868077,-355.287566112849,-30482.3200554191,26220.6348409531,0.016268146727165,0.073196063859309,-2.08593648421565,2.20376457732735,-13.5048375549409,14.6653296988514,1,1,0,0,0.2,3,"Market species + high trip variance",50,10,1.13,26,1.8,1.7,0.41,1.3,0.42,"Market species + high trip variance - Random sets","sets",NA
10,"Random sets","sets",9.5849223195029,2604.15,9.56410648259122,124576.694,124840.619997275,124576.694,76022.5,199023.224999999,124840.619997275,76267.2059893302,200422.390290033,-263.925997274704,-15221.2856965619,14446.2908140814,0.0208158369116761,0.187264453710037,-1.07950005713518,1.20440331453613,-9.60296632793498,12.4294439683957,1,1,0,0,0.2,2,"Market species + high vessel variance",50,10,1.13,26,1.8,1.7,0.82,0.67,0.42,"Market species + high vessel variance - Random sets","sets",NA
37,"Random sets","sets",0.0106642405071183,2612.785,0.010715980149518,139.905,139.419822793835,139.905,88.975,200,139.419822793835,70.2120204155738,215.719371000426,0.485177206164825,-47.4223880891004,48.0210335288471,-5.17396423997037e-05,-0.378089402788116,-0.00379146444754961,0.00354412383607195,-34.1038584516419,35.3871069966123,1,1,0,0,0.2,5,"Rare bycatch species",50,10,1.13,26,1.8,-4.9,0.55,0.65,0.42,"Rare bycatch species - Random sets","sets",NA
34,"Baseline 75%","trips",0.114580919816032,1956.816,0.115342941319932,1512.159,1500.31009170355,1512.159,1006.85,2173.02500000001,1500.31009170355,897.594918773181,2302.51701875556,11.8489082964529,-407.787235167479,412.445080668611,-0.00076202150390019,-0.683415538954427,-0.0315771309402872,0.0330541874802105,-26.0381724308297,28.1721569551506,7,0.2,0,0,0.75,4,"Bycatch species ",50,10,1.13,26,1.8,-2.52,0.55,0.65,0.42,NA,"trips","Scnr 3: Randomly 
 selected trips"
28,"Random sets","sets",0.116160217815647,2617.293,0.115673557140266,1513.233,1519.39897179501,1513.233,1019.95,2220.34999999999,1519.39897179501,985.546720771197,2232.92559613357,-6.16597179500811,-213.682241219582,189.457316604085,0.000486660675380464,0.410427977294468,-0.0150577737515044,0.0159418073967088,-12.8673518297529,13.9044940153935,1,1,0,0,0.2,4,"Bycatch species ",50,10,1.13,26,1.8,-2.52,0.55,0.65,0.42,NA,"trips","Scnr 1: Random Sets"
36,"Trip bias 75%","trips",0.0665841693456618,2529.979,0.114827845841042,1502.338,871.81311953941,1502.338,1002.8,2165.225,871.81311953941,512.818529118964,1328.70173715636,630.524880460591,326.616063411789,1015.86592179502,-0.0482436764953805,-41.8542022706712,-0.0728434723289895,-0.0270633610190785,-56.4684182761544,-26.0760649428529,9,0.2,0,-2,0.75,4,"Bycatch species ",50,10,1.13,26,1.8,-2.52,0.55,0.65,0.42,NA,"trips","Scnr 3: Bias to low 
 catch rate trips"
7,"Baseline 75%","trips",7.49743708382274,1941.774,7.45466542163262,96689.198,97303.3757805837,96689.198,66926.45,134455.425,97303.3757805837,64217.7122655194,144874.202580749,-614.1777805837,-24053.4179099602,18522.4117865087,0.0427716621901218,0.530384581688604,-1.46299933853731,1.82270904227521,-19.0510560644057,23.6946204439991,7,0.2,0,0,0.75,1,"Market species",50,10,1.13,26,1.8,1.7,0.41,0.67,0.42,NA,"trips","Scnr 3: Randomly 
 selected trips"
1,"Random sets","sets",7.46153260169851,2618.08,7.45472894594151,97553.337,97645.8664132246,97553.337,69461.575,134113.6,97645.8664132246,67822.1026320428,134971.641449398,-92.5294132245838,-8144.6990665392,7274.26183479523,0.00680365575699791,0.0861809651948686,-0.548500420795607,0.64799963184714,-7.64131790004259,8.65210881436654,1,1,0,0,0.2,1,"Market species",50,10,1.13,26,1.8,1.7,0.41,0.67,0.42,NA,"trips","Scnr 1: Random Sets"
9,"Trip bias 75%","trips",4.24407036994497,2586.592,7.45064741170466,98492.928,56104.9499692672,98492.928,67756.2,134131.125,56104.9499692672,36133.3773500978,78759.3120609135,42387.9780307328,25477.4344558311,63074.6053788461,-3.20657704175969,-42.9303488456463,-4.43806731405743,-2.15896889683485,-52.6744866588891,-31.1081072619634,9,0.2,0,-2,0.75,1,"Market species",50,10,1.13,26,1.8,1.7,0.41,0.67,0.42,NA,"trips","Scnr 3: Bias to low 
 catch rate trips"
25,"Baseline 75%","trips",13.6994454914165,1941.919,13.876541221024,179291.182,176658.707215078,179291.182,118082.45,267087.725,176658.707215078,95477.6506081762,312154.849635354,2632.47478492196,-99045.0459804494,80464.1322413221,-0.177095729607475,-1.13356504306631,-6.01332833501465,8.15069089907778,-38.3453310463817,54.6382588767952,7,0.2,0,0,0.75,3,"Market species + high trip variance",50,10,1.13,26,1.8,1.7,0.41,1.3,0.42,NA,"trips","Scnr 3: Randomly 
 selected trips"
19,"Random sets","sets",13.8888641059611,2624.652,13.872595959234,181848.608,182203.895566113,181848.608,116111.475,263640.8,182203.895566113,114839.921056568,277399.137868077,-355.287566112849,-30482.3200554191,26220.6348409531,0.016268146727165,0.073196063859309,-2.08593648421565,2.20376457732735,-13.5048375549409,14.6653296988514,1,1,0,0,0.2,3,"Market species + high trip variance",50,10,1.13,26,1.8,1.7,0.41,1.3,0.42,NA,"trips","Scnr 1: Random Sets"
27,"Trip bias 75%","trips",2.7774811671539,3222.855,13.9191171541823,181928.216,36316.9380448717,181928.216,115370.75,268063.85,36316.9380448717,22984.6336850096,53263.0550111966,145611.277955128,90102.6159046968,224415.330837363,-11.1416359870284,-79.708781860979,-15.9606228464564,-7.792588866391,-86.2229827686588,-71.8000386115214,9,0.2,0,-2,0.75,3,"Market species + high trip variance",50,10,1.13,26,1.8,1.7,0.41,1.3,0.42,NA,"trips","Scnr 3: Bias to low 
 catch rate trips"
16,"Baseline 75%","trips",9.54038034531939,1958.97,9.56905807442753,124774.769,124435.602738764,124774.769,76467.925,202007.325,124435.602738764,69173.4801751973,210790.802098755,339.166261235561,-45998.4462507788,40838.3415518048,-0.0286777291081403,-0.107471517812282,-3.21382628391312,3.41730825564639,-28.3551150663094,34.1527823808478,7,0.2,0,0,0.75,2,"Market species + high vessel variance",50,10,1.13,26,1.8,1.7,0.82,0.67,0.42,NA,"trips","Scnr 3: Randomly 
 selected trips"
