"parameter_set_id","description","strategy","mean_estimated_rate","mean_monitored_sets","mean_true_rate","mean_true_catch","mean_estimated_catch","mean_catch_real","lower_ci_catch_real","upper_ci_catch_real","mean_catch_estimated","lower_ci_catch_estimated","upper_ci_catch_estimated","mean_catch_missed","lower_ci_catch_missed","upper_ci_catch_missed","mean_bias","mean_bias_percent","lower_ci_mean_bias","upper_ci_mean_bias","lower_ci_mean_bias_percent","upper_ci_mean_bias_percent","monitoring_param_set","p_monitor","bias_v","bias_factor","p_sets_select","spp_param_set","species","V","mu_trips","theta_trips","mu_sets","theta_sets","beta_0","sigma_x","sigma_z","theta"
1,"Baseline","sets",7.46153260169851,2618.08,7.45472894594151,97553.337,97645.8664132246,97553.337,69461.575,134113.6,97645.8664132246,67822.1026320428,134971.641449398,-92.5294132245838,-8144.6990665392,7274.26183479523,0.00680365575699791,0.0861809651948686,-0.548500420795607,0.64799963184714,-7.64131790004259,8.65210881436654,1,1,0,0,0.2,1,"Market species",50,10,1.13,26,1.8,1.7,0.41,0.67,0.42
1,"Baseline","trips",7.44942352247879,2616.771,7.45472894594151,97553.337,97502.23990893,97553.337,69461.575,134113.6,97502.23990893,67567.4399051221,133319.975833393,51.0970910699775,-7890.46760007928,7035.1810023678,-0.0053054234627171,-0.0728289395413893,-0.54712968793548,0.622328279538906,-7.32540283659323,8.20619966202335,1,1,0,0,0.2,1,"Market species",50,10,1.13,26,1.8,1.7,0.41,0.67,0.42
1,"Baseline","vessels",7.4468936748521,2618.23,7.45472894594151,97553.337,97469.674944218,97553.337,69461.575,134113.6,97469.674944218,67855.3069115515,135912.661201938,83.6620557820298,-7013.7446264601,7198.19004224076,-0.00783527108940746,-0.095172803817569,-0.567967291416332,0.580547882616021,-7.50535525263897,7.65913513832713,1,1,0,0,0.2,1,"Market species",50,10,1.13,26,1.8,1.7,0.41,0.67,0.42
2,"Vessel bias","sets",7.40886173253176,2631.886,7.41118370131541,97533.257,97510.882374927,97533.257,68248.25,131852.5,97510.882374927,67426.8378866313,133929.818093319,22.3746250729533,-8259.54222358042,7461.62281996291,-0.00232196878364837,-0.0536452143915919,-0.583095327016651,0.647214573338697,-8.00042456349989,8.56509249741452,2,1,-2,0,0.2,1,"Market species",50,10,1.13,26,1.8,1.7,0.41,0.67,0.42
2,"Vessel bias","trips",7.41375872619348,2629.443,7.41118370131541,97533.257,97597.923625023,97533.257,68248.25,131852.5,97597.923625023,67407.1811882935,132687.363370304,-64.6666250229708,-6947.45577990277,6391.1377136923,0.0025750248780741,0.0414410766831118,-0.508778627392135,0.539441561174756,-6.85981631239664,7.32914208234168,2,1,-2,0,0.2,1,"Market species",50,10,1.13,26,1.8,1.7,0.41,0.67,0.42
2,"Vessel bias","vessels",7.41676302126494,2631.051,7.41118370131541,97533.257,97625.2554532375,97533.257,68248.25,131852.5,97625.2554532375,67618.1536243787,134347.741208435,-91.9984532374799,-7687.51763785395,6941.09196064633,0.00557931994953309,0.0731214570496709,-0.554452762467071,0.560400875505419,-7.413706445553,7.31171206749424,2,1,-2,0,0.2,1,"Market species",50,10,1.13,26,1.8,1.7,0.41,0.67,0.42
3,"Trip bias","sets",7.41964036123284,2612.579,7.43227695126646,97152.556,96974.7681373961,97152.556,66239.025,131305.45,96974.7681373961,65670.8480563817,131501.082077788,177.787862603905,-7170.59049215163,7375.62366262903,-0.0126365900336214,-0.167342577232607,-0.593021918393947,0.553906547901846,-7.65461961051635,7.20406661021419,3,1,0,-2,0.2,1,"Market species",50,10,1.13,26,1.8,1.7,0.41,0.67,0.42
3,"Trip bias","trips",7.44740244955078,2612.196,7.43227695126646,97152.556,97347.0252750185,97152.556,66239.025,131305.45,97347.0252750185,66403.1754590296,133031.287604354,-194.469275018551,-7546.43034758447,6221.58320587656,0.0151254982843195,0.199950517353721,-0.491683973926166,0.565291903755368,-7.08926240088915,7.53295442102536,3,1,0,-2,0.2,1,"Market species",50,10,1.13,26,1.8,1.7,0.41,0.67,0.42
3,"Trip bias","vessels",7.44321324559995,2613.988,7.43227695126646,97152.556,97301.4900595742,97152.556,66239.025,131305.45,97301.4900595742,65944.7563241535,132679.551996026,-148.934059574195,-7936.93802118527,6812.92976254687,0.0109362943334867,0.154647685023481,-0.520889588647063,0.619064334612054,-7.23098243209888,8.56874541963987,3,1,0,-2,0.2,1,"Market species",50,10,1.13,26,1.8,1.7,0.41,0.67,0.42
4,"Baseline 20%","sets",7.40892331431586,525.978,7.45390363439185,98133.12,97558.8892101237,98133.12,68418.5,133821.975,97558.8892101237,64954.3952777145,139900.236211254,574.230789876332,-20107.2894082126,18405.589894636,-0.0449803200759867,-0.627455093090509,-1.41113225744598,1.59500094914137,-18.7095477593667,21.485552654305,4,0.2,0,0,0.2,1,"Market species",50,10,1.13,26,1.8,1.7,0.41,0.67,0.42
