"parameter_set_id","description","strategy","mean_estimated_rate","mean_true_rate","mean_bias","mean_bias_percent","lower_ci_mean_bias","upper_ci_mean_bias","lower_ci_mean_bias_percent","upper_ci_mean_bias_percent","monitoring_param_set","p_monitor","bias_v","bias_factor","p_sets_select","spp_param_set","species","V","mu_trips","theta_trips","mu_sets","theta_sets","beta_0","sigma_x","sigma_z","theta"
1,"Baseline","sets",7.46153260169851,7.45472894594151,0.00680365575699797,0.0861809651948685,-0.548500420795606,0.64799963184714,-7.64131790004259,8.65210881436654,1,1,0,0,0.2,1,"Market species",50,10,1.13,26,1.8,1.7,0.41,0.67,0.42
1,"Baseline","trips",7.44942352247879,7.45472894594151,-0.00530542346271706,-0.0728289395413894,-0.54712968793548,0.622328279538906,-7.32540283659323,8.20619966202335,1,1,0,0,0.2,1,"Market species",50,10,1.13,26,1.8,1.7,0.41,0.67,0.42
1,"Baseline","vessels",7.4468936748521,7.45472894594151,-0.0078352710894074,-0.0951728038175691,-0.567967291416331,0.580547882616021,-7.50535525263896,7.65913513832713,1,1,0,0,0.2,1,"Market species",50,10,1.13,26,1.8,1.7,0.41,0.67,0.42
2,"Vessel bias","sets",7.40886173253176,7.41118370131541,-0.00232196878364843,-0.0536452143915919,-0.583095327016651,0.647214573338696,-8.00042456349989,8.56509249741452,2,1,-2,0,0.2,1,"Market species",50,10,1.13,26,1.8,1.7,0.41,0.67,0.42
2,"Vessel bias","trips",7.41375872619348,7.41118370131541,0.00257502487807416,0.0414410766831119,-0.508778627392135,0.539441561174755,-6.85981631239664,7.32914208234168,2,1,-2,0,0.2,1,"Market species",50,10,1.13,26,1.8,1.7,0.41,0.67,0.42
2,"Vessel bias","vessels",7.41676302126494,7.41118370131541,0.0055793199495331,0.0731214570496711,-0.554452762467071,0.560400875505419,-7.413706445553,7.31171206749424,2,1,-2,0,0.2,1,"Market species",50,10,1.13,26,1.8,1.7,0.41,0.67,0.42
3,"Trip bias","sets",7.41964036123284,7.43227695126646,-0.0126365900336213,-0.167342577232608,-0.593021918393947,0.553906547901846,-7.65461961051635,7.20406661021419,3,1,0,-2,0.2,1,"Market species",50,10,1.13,26,1.8,1.7,0.41,0.67,0.42
3,"Trip bias","trips",7.44740244955078,7.43227695126646,0.0151254982843195,0.199950517353721,-0.491683973926165,0.565291903755369,-7.08926240088916,7.53295442102537,3,1,0,-2,0.2,1,"Market species",50,10,1.13,26,1.8,1.7,0.41,0.67,0.42
3,"Trip bias","vessels",7.44321324559995,7.43227695126646,0.0109362943334867,0.154647685023482,-0.520889588647063,0.619064334612054,-7.23098243209888,8.56874541963987,3,1,0,-2,0.2,1,"Market species",50,10,1.13,26,1.8,1.7,0.41,0.67,0.42
4,"Baseline 20%","sets",7.40892331431586,7.45390363439185,-0.0449803200759867,-0.627455093090509,-1.41113225744598,1.59500094914138,-18.7095477593666,21.485552654305,4,0.2,0,0,0.2,1,"Market species",50,10,1.13,26,1.8,1.7,0.41,0.67,0.42
4,"Baseline 20%","trips",7.40196642260451,7.45390363439185,-0.0519372117873349,-0.688261637553877,-1.88043246605099,2.09650414483039,-24.8671191257219,28.2025904886972,4,0.2,0,0,0.2,1,"Market species",50,10,1.13,26,1.8,1.7,0.41,0.67,0.42
4,"Baseline 20%","vessels",7.42900570371598,7.45390363439185,-0.0248979306758669,-0.264851693932274,-2.90074080890292,3.66805786511314,-36.7803111563335,48.4790548463148,4,0.2,0,0,0.2,1,"Market species",50,10,1.13,26,1.8,1.7,0.41,0.67,0.42
