"parameter_set_id","description","strategy","mean_estimated_rate","mean_true_rate","mean_bias","mean_bias_percent","lower_ci_mean_bias","upper_ci_mean_bias","lower_ci_mean_bias_percent","upper_ci_mean_bias_percent","monitoring_param_set","p_monitor","bias_v","bias_factor","p_sets_select","spp_param_set","species","V","mu_trips","theta_trips","mu_sets","theta_sets","beta_0","sigma_x","sigma_z","theta"
1,"Baseline 30%","sets",7.4938171558096,7.45384381093376,0.0399733448758414,0.500289746805944,-1.01097947172608,1.22983474376679,-13.8055036134142,17.096170337549,10,0.3,0,0,0.2,1,"Market species",50,10,1.13,26,1.8,1.7,0.41,0.67,0.42
1,"Baseline 30%","trips",7.45691340586027,7.45384381093376,0.00306959492651341,-0.0179180690399311,-1.50328634509515,1.77118018079744,-20.420149643233,21.7741677507974,10,0.3,0,0,0.2,1,"Market species",50,10,1.13,26,1.8,1.7,0.41,0.67,0.42
1,"Baseline 30%","vessels",7.47058150061635,7.45384381093376,0.0167376896825919,0.286684384723535,-2.37244266957646,2.89211266140871,-31.8325294517503,39.0862816894974,10,0.3,0,0,0.2,1,"Market species",50,10,1.13,26,1.8,1.7,0.41,0.67,0.42
2,"Vessel bias 30%","sets",7.44172724861035,7.43905342253773,0.00267382607262958,0.0291906788267467,-1.16481789005083,1.24094542190474,-15.5404942239789,16.304973344546,11,0.3,-2,0,0.2,1,"Market species",50,10,1.13,26,1.8,1.7,0.41,0.67,0.42
2,"Vessel bias 30%","trips",7.46608773435345,7.43905342253773,0.0270343118157296,0.387655639143895,-1.5119130502976,1.70675339837608,-18.5143158047218,22.9582687395704,11,0.3,-2,0,0.2,1,"Market species",50,10,1.13,26,1.8,1.7,0.41,0.67,0.42
2,"Vessel bias 30%","vessels",6.04610967255773,7.43905342253773,-1.39294374997999,-18.5564781844163,-3.55110469181297,0.796943854104811,-43.4031759695378,10.828952344973,11,0.3,-2,0,0.2,1,"Market species",50,10,1.13,26,1.8,1.7,0.41,0.67,0.42
3,"Trip bias 30%","sets",7.4436659190674,7.44892214937784,-0.0052562303104399,-0.0735853765295285,-1.12239366021376,1.31277410736654,-14.9338510753766,17.7537698980711,12,0.3,0,-2,0.2,1,"Market species",50,10,1.13,26,1.8,1.7,0.41,0.67,0.42
3,"Trip bias 30%","trips",4.50546890592584,7.44892214937784,-2.943453243452,-39.4241684472072,-4.09004972119255,-1.80206960818256,-50.3696876904835,-25.7456929119695,12,0.3,0,-2,0.2,1,"Market species",50,10,1.13,26,1.8,1.7,0.41,0.67,0.42
3,"Trip bias 30%","vessels",7.48298129035282,7.44892214937784,0.0340591409749828,0.440997904764531,-2.14575964486815,2.71367665181708,-27.3720232192769,36.0192512797341,12,0.3,0,-2,0.2,1,"Market species",50,10,1.13,26,1.8,1.7,0.41,0.67,0.42
4,"Baseline 100%","sets",7.4344220622043,7.44404580772598,-0.00962374552168087,-0.133464070235705,-0.59433144277465,0.586817749784168,-7.95780213183965,7.81285511055016,13,1,0,0,0.2,1,"Market species",50,10,1.13,26,1.8,1.7,0.41,0.67,0.42
4,"Baseline 100%","trips",7.44000465933621,7.44404580772598,-0.00404114838976397,-0.0515385402360331,-0.532204975210099,0.610171498967672,-7.0366114895217,8.21223953994869,13,1,0,0,0.2,1,"Market species",50,10,1.13,26,1.8,1.7,0.41,0.67,0.42
4,"Baseline 100%","vessels",7.45142063872773,7.44404580772598,0.00737483100174695,0.104186074697912,-0.571251597001894,0.576279579583695,-7.43348858245152,7.69190692535843,13,1,0,0,0.2,1,"Market species",50,10,1.13,26,1.8,1.7,0.41,0.67,0.42
5,"Vessel bias 100%","sets",7.47260290586403,7.45994690144348,0.0126560044205435,0.157864747979986,-0.555500695101164,0.637455077088916,-7.22728226111429,8.57111708621966,14,1,-2,0,0.2,1,"Market species",50,10,1.13,26,1.8,1.7,0.41,0.67,0.42
