"parameter_set_id","description","strategy","mean_estimated_rate","mean_true_rate","mean_bias","mean_bias_percent","lower_ci_mean_bias","upper_ci_mean_bias","lower_ci_mean_bias_percent","upper_ci_mean_bias_percent","monitoring_param_set","p_monitor","bias_v","bias_factor","p_sets_select","spp_param_set","species","V","mu_trips","theta_trips","mu_sets","theta_sets","beta_0","sigma_x","sigma_z","theta"
1,"Baseline","sets",367.852577661724,368.657659550193,-0.805081888469481,-0.216604517112919,-22.4433591821324,20.8579560486376,-5.98703942337559,5.60831067175822,1,0.3,0,0,1,1,"Market species",50,10,1.13,26,1.8,5.6,0.41,0.67,0.42
1,"Baseline","trips",367.338174761255,368.657659550193,-1.31948478893808,-0.343083720744377,-60.8102140481855,66.0613827361659,-15.908055393005,17.8590967564722,1,0.3,0,0,1,1,"Market species",50,10,1.13,26,1.8,5.6,0.41,0.67,0.42
1,"Baseline","vessels",366.158823134122,368.657659550193,-2.49883641607134,-0.571204075542776,-114.780597179981,117.121137275444,-29.2244630955358,31.1821520988084,1,0.3,0,0,1,1,"Market species",50,10,1.13,26,1.8,5.6,0.41,0.67,0.42
2,"Vessel bias","sets",367.437090713453,366.88096106864,0.556129644813561,0.159732020879392,-21.6553017282148,23.0002670344066,-5.73421523668385,6.26829909308398,2,0.3,-2,0,1,1,"Market species",50,10,1.13,26,1.8,5.6,0.41,0.67,0.42
2,"Vessel bias","trips",366.907649057032,366.88096106864,0.0266879883926858,0.0299625268314353,-56.7548486464152,62.9750780050529,-15.0313803166287,16.6077873843002,2,0.3,-2,0,1,1,"Market species",50,10,1.13,26,1.8,5.6,0.41,0.67,0.42
2,"Vessel bias","vessels",297.035501405382,366.88096106864,-69.8454596632575,-18.8280353885614,-161.47328228362,14.9103614410693,-40.6410846630995,4.0436763415707,2,0.3,-2,0,1,1,"Market species",50,10,1.13,26,1.8,5.6,0.41,0.67,0.42
3,"Trip bias","sets",369.622868696274,369.350904716172,0.271963980102753,0.0872475720928927,-20.0539796535007,24.2720241235339,-5.27580058010197,6.48694112883908,3,0.3,0,-2,1,1,"Market species",50,10,1.13,26,1.8,5.6,0.41,0.67,0.42
3,"Trip bias","trips",223.916015162794,369.350904716172,-145.434889553378,-39.2757750893041,-197.504554371378,-98.4304138984267,-48.420290985658,-28.9435052385153,3,0.3,0,-2,1,1,"Market species",50,10,1.13,26,1.8,5.6,0.41,0.67,0.42
3,"Trip bias","vessels",368.894051051345,369.350904716172,-0.456853664826849,-0.0643463645599012,-117.572445877213,129.582333870093,-29.7973689723405,34.8014652093037,3,0.3,0,-2,1,1,"Market species",50,10,1.13,26,1.8,5.6,0.41,0.67,0.42
4,"Baseline 20%","sets",367.06381080556,368.06058179974,-0.996770994180042,-0.261478357042953,-31.1161674505749,30.7912460174658,-7.99825218743545,7.8704799437476,4,0.2,0,0,1,1,"Market species",50,10,1.13,26,1.8,5.6,0.41,0.67,0.42
4,"Baseline 20%","trips",369.440761823114,368.06058179974,1.38018002337432,0.423640581839722,-71.413969565868,85.669140637243,-18.5610606313102,22.5254133392567,4,0.2,0,0,1,1,"Market species",50,10,1.13,26,1.8,5.6,0.41,0.67,0.42
4,"Baseline 20%","vessels",370.716620446927,368.06058179974,2.65603864718713,0.747667090506327,-140.299039601245,198.71097991216,-35.8492933209184,50.5553364011775,4,0.2,0,0,1,1,"Market species",50,10,1.13,26,1.8,5.6,0.41,0.67,0.42
5,"Vessel bias 20%","sets",367.116167738549,367.314686234011,-0.19851849546283,-0.0443643480264143,-27.3983704247858,28.3534283639087,-7.35817130908243,7.68377917285548,5,0.2,-2,0,1,1,"Market species",50,10,1.13,26,1.8,5.6,0.41,0.67,0.42
5,"Vessel bias 20%","trips",365.846166665054,367.314686234011,-1.4685195689572,-0.400471199433278,-75.7406551455258,76.9873755092018,-19.6820789500027,21.2234733451654,5,0.2,-2,0,1,1,"Market species",50,10,1.13,26,1.8,5.6,0.41,0.67,0.42
5,"Vessel bias 20%","vessels",287.835893656249,367.314686234011,-79.4787925777625,-21.3782621287413,-189.609174671464,39.7958061812381,-48.1589114257549,10.6111240181764,5,0.2,-2,0,1,1,"Market species",50,10,1.13,26,1.8,5.6,0.41,0.67,0.42
